SPAC1296.02	SPBC32F12.02
SPBC725.11C	SPAC23C11.08
SPAC806.06C	SPAC806.06C
SPBC839.10	SPAC4D7.13
SPAC3C7.02C	SPCC297.06C
SPAC589.08C	SPAC16A10.05C
SPAC589.08C	SPBC11C11.03
SPAC589.08C	SPAC8C9.17C
SPAC589.08C	SPAC10F6.11C
SPAC589.08C	SPAC1486.03C
SPBC19G7.15	SPAC17C9.14
SPBC19G7.15	SPAC22G7.09C
SPAC26A3.15C	SPBC19G7.15
SPBC19G7.15	SPAC10F6.11C
SPAC664.14	SPAC688.04C
SPBC3E7.13C	SPBC211.02C
SPBC26H8.01	SPBC26H8.01
SPBC211.08C	SPAC144.17C
SPBC14C8.16C	SPAC890.07C
SPCC1672.05C	SPBC354.06
SPBC21B10.07	SPAC1142.06
SPAC7D4.07C	SPAC644.15
SPAC1805.17	SPAC17C9.14
SPAC1805.17	SPBC21B10.03C
SPAC1805.17	SPAC3F10.17
SPAC1805.17	SPAC1783.07C
SPAC1805.17	SPBC3B9.21
SPAC458.06	SPAC6F6.15
SPACUNK4.15	SPAC6G9.11
SPAC17A5.10	SPAC11G7.02
SPBC3E7.15C	SPBC3E7.15C
SPAC24C9.10C	SPAC1142.06
SPAC24C9.10C	SPAC10F6.11C
SPAC1F5.03C	SPBC13E7.03C
SPBP8B7.25	SPAC1142.06
SPCC553.02	SPCC553.02
SPBC4.03C	SPCC191.07
SPBC17F3.02	SPAC1834.06C
SPCC548.04	SPAC2G11.10C
SPBC12C2.05C	SPBC17D1.03C
SPBC12C2.05C	SPAC823.15
SPBC12C2.05C	SPBC25H2.04C
SPBC12C2.05C	SPCC737.02C
SPBC12C2.05C	SPBC3E7.12C
SPBC12C2.05C	SPAC1002.09C
SPBC12C2.05C	SPAC806.03C
SPBC12C2.05C	SPAC144.18
SPBC12C2.05C	SPAC6G10.03C
SPBC12C2.05C	SPAC9.12C
SPBC12C2.05C	SPAC22A12.09C
SPBC12C2.05C	SPBC1778.07
SPBC12C2.05C	SPAC823.05C
SPBC12C2.05C	SPAC4A8.10
SPAC1002.17C	SPCC162.11C
SPCC11E10.03	SPBC1347.12
SPBC1347.06C	SPAC2F7.10
SPBC83.09C	SPBC27.08C
SPBC6B1.05C	SPAC1783.06C
SPBC6B1.05C	SPBC3B9.06C
SPCC4G3.18	SPAC10F6.11C
SPAC3A11.12C	SPAC2H10.02C
SPAC23A1.02C	SPCC576.03C
SPAC19A8.13	SPAC890.07C
SPCC364.07	SPCC364.07
SPBC3B8.05	SPBC17D1.02
SPBC8D2.13	SPBC30D10.15
SPBC428.13C	SPAC821.12
SPAC22F8.08	SPBC24C6.08C
SPAC227.18	SPBC13G1.03C
SPAC6F6.12	SPAC10F6.11C
SPCC290.03C	SPAC19E9.01C
SPBC13A2.02	SPAC10F6.11C
SPAC4H3.04C	SPBC1347.12
SPBC27.08C	SPBC27.08C
SPBC32F12.05C	SPBC211.02C
SPAC4F10.19C	SPBC16C6.03C
SPBC56F2.08C	SPAC19A8.10
SPBC56F2.08C	SPAC1420.03
SPBC56F2.08C	SPBC17F3.01C
SPBC56F2.08C	SPBC354.14C
SPBC56F2.08C	SPAC23C11.12
SPBC56F2.08C	SPAC2C4.13
SPBC56F2.08C	SPAC4F8.01
SPBC56F2.08C	SPAC3G6.06C
SPBC56F2.08C	SPBC1347.07
SPBC56F2.08C	SPAC16.03C
SPBC56F2.08C	SPAC1002.04C
SPBC56F2.08C	SPBC21C3.11
SPBC56F2.08C	SPBC11B10.07C
SPBC56F2.08C	SPCC188.02
SPBC56F2.08C	SPAC8E11.07C
SPBC56F2.08C	SPBC18H10.02
SPBC4B4.06	SPBC3B9.09
SPBC4B4.06	SPBC651.05C
SPAC10F6.03C	SPAC10F6.03C
SPCC794.11C	SPAC3G6.03C
SPAC4F8.01	SPCC4G3.15C
SPAC4F8.01	SPCC970.04C
